"ADM1_ES","ADM2_ES","college","clinic","university","school","hospital"
"Amazonas","La Pedrera",0,0,0,2,1
"Amazonas","Leticia",1,1,2,27,2
"Amazonas","Puerto Narino",0,0,0,1,1
"Amazonas","Puerto Santander",0,0,0,0,2
"Antioquia","Abejorral",0,0,0,5,2
"Antioquia","Abriaqui",0,0,0,0,1
"Antioquia","Alejandria",0,0,0,6,1
"Antioquia","Amaga",0,0,0,1,1
"Antioquia","Amalfi",0,1,2,23,1
"Antioquia","Andes",0,0,0,1,2
"Antioquia","Angelopolis",0,0,0,1,2
"Antioquia","Angostura",0,0,0,2,1
"Antioquia","Anori",0,0,0,9,0
"Antioquia","Anza",0,0,0,1,1
"Antioquia","Apartado",1,0,5,35,13
"Antioquia","Arboletes",0,0,0,24,1
"Antioquia","Argelia",0,0,0,36,1
"Antioquia","Armenia",0,0,0,1,1
"Antioquia","Barbosa",0,0,0,5,1
"Antioquia","Bello",1,3,3,35,8
"Antioquia","Belmira",0,0,0,2,1
"Antioquia","Betania",0,0,0,0,1
"Antioquia","Betulia",0,0,0,3,2
"Antioquia","Briceno",0,0,0,9,1
"Antioquia","Buritica",0,0,0,2,1
"Antioquia","Caceres",0,2,0,26,5
"Antioquia","Caicedo",0,0,0,3,1
"Antioquia","Caldas",1,0,0,1,2
"Antioquia","Campamento",0,0,0,3,2
"Antioquia","Canasgordas",0,0,0,3,2
"Antioquia","Caracoli",0,0,0,2,1
"Antioquia","Caramanta",1,0,0,1,1
"Antioquia","Carepa",0,0,0,1,1
"Antioquia","Carolina",0,0,0,1,1
"Antioquia","Caucasia",0,1,0,8,2
"Antioquia","Chigorodo",0,0,0,13,1
"Antioquia","Cisneros",0,0,0,0,1
"Antioquia","Ciudad Bolivar",0,0,0,2,1
"Antioquia","Cocorna",0,0,0,3,3
"Antioquia","Concepcion",0,0,0,1,1
"Antioquia","Concordia",0,0,0,1,1
"Antioquia","Copacabana",0,0,0,14,2
"Antioquia","Dabeiba",0,0,0,8,0
"Antioquia","Donmatias",0,0,0,7,1
"Antioquia","Ebejico",0,0,0,2,1
"Antioquia","El Bagre",0,1,0,11,1
"Antioquia","El Carmen de Viboral",1,1,2,18,1
"Antioquia","El Santuario",0,0,0,8,1
"Antioquia","Entrerrios",2,0,0,3,1
"Antioquia","Envigado",5,0,3,37,4
"Antioquia","Fredonia",0,0,0,0,1
"Antioquia","Frontino",0,0,0,1,2
"Antioquia","Giraldo",0,0,0,1,1
"Antioquia","Girardota",0,0,0,4,1
"Antioquia","Gomez Plata",1,0,0,3,1
"Antioquia","Granada",0,0,0,5,1
"Antioquia","Guadalupe",0,0,0,3,2
"Antioquia","Guarne",1,0,0,6,2
"Antioquia","Guatape",0,0,0,3,2
"Antioquia","Heliconia",0,0,0,1,1
"Antioquia","Hispania",0,0,0,3,1
"Antioquia","Itagui",4,2,0,18,8
"Antioquia","Ituango",0,0,0,16,2
"Antioquia","Jardin",0,1,0,3,1
"Antioquia","Jerico",0,0,0,6,0
"Antioquia","La Ceja",0,1,0,6,1
"Antioquia","La Estrella",1,1,0,2,3
"Antioquia","La Pintada",0,0,0,2,1
"Antioquia","La Union",0,0,0,2,1
"Antioquia","Liborina",0,0,1,2,1
"Antioquia","Maceo",0,0,0,3,1
"Antioquia","Marinilla",0,0,0,5,1
"Antioquia","Medellin",60,102,51,321,100
"Antioquia","Montebello",0,0,0,2,2
"Antioquia","Murindo",0,0,0,0,1
"Antioquia","Mutata",0,0,0,2,1
"Antioquia","Narino",0,0,0,49,1
"Antioquia","Nechi",0,0,0,16,3
"Antioquia","Necocli",0,0,0,19,3
"Antioquia","Olaya",0,0,0,3,1
"Antioquia","Penol",0,0,0,3,1
"Antioquia","Peque",0,1,0,2,1
"Antioquia","Pueblorrico",0,0,0,0,1
"Antioquia","Puerto Berrio",2,0,1,9,1
"Antioquia","Puerto Nare",0,0,0,0,1
"Antioquia","Puerto Triunfo",0,0,0,0,1
"Antioquia","Remedios",1,0,0,4,1
"Antioquia","Retiro",0,0,0,5,1
"Antioquia","Rionegro",0,1,2,25,5
"Antioquia","Sabanalarga",0,0,0,0,1
"Antioquia","Sabaneta",0,1,2,4,2
"Antioquia","Salgar",1,1,0,5,1
"Antioquia","San Andres de Cuerquia",0,0,0,28,2
"Antioquia","San Carlos",0,0,0,22,1
"Antioquia","San Francisco",0,0,0,1,1
