"quadkey","ADM0_PC","ADM0_ES","ADM1_PC","ADM1_ES","ADM2_PC","ADM2_ES","connection","trimester","avg_d_kbps","avg_u_kbps","avg_lat_ms","tests","devices"
"Q0322032133322031",1,"1",28,"4",1054,"715","1","1",2469,2303,143,107,9
"Q0322032133322031",1,"1",28,"4",1054,"715","1","2",1451,1595,113,87,6
"Q0322032133322033",1,"1",28,"4",1054,"715","1","1",445,2335,524,2,2
"Q0322032133322033",1,"1",28,"4",1054,"715","1","2",2155,2863,17,6,1
"Q0322032133322101",1,"1",28,"4",1054,"715","1","1",2972,6692,59,10,5
"Q0322032133322101",1,"1",28,"4",1054,"715","1","2",1080,1806,141,8,4
"Q0322032133322102",1,"1",28,"4",1054,"715","1","1",2481,968,229,82,9
"Q0322032133322102",1,"1",28,"4",1054,"715","1","2",706,906,275,15,4
"Q0322032133322103",1,"1",28,"4",1054,"715","1","1",1900,1582,240,183,35
"Q0322032133322103",1,"1",28,"4",1054,"715","1","2",2633,2048,105,361,37
"Q0322032133322110",1,"1",28,"4",1054,"715","1","1",4973,7940,456,20,5
"Q0322032133322110",1,"1",28,"4",1054,"715","1","2",4292,9581,76,13,6
"Q0322032133322112",1,"1",28,"4",1054,"715","1","1",2748,3261,114,246,27
"Q0322032133322112",1,"1",28,"4",1054,"715","1","2",4186,5355,72,334,20
"Q0322032133322113",1,"1",28,"4",1054,"715","1","1",10267,7152,94,6,5
"Q0322032133322120",1,"1",28,"4",1054,"715","1","1",6499,3381,106,17,8
"Q0322032133322120",1,"1",28,"4",1054,"715","1","2",1787,1686,84,29,5
"Q0322032133322121",1,"1",28,"4",1054,"715","1","1",4918,3328,62,18,9
"Q0322032133322121",1,"1",28,"4",1054,"715","1","2",1926,2144,124,108,14
"Q0322032133322122",1,"1",28,"4",1054,"715","1","1",1512,4037,194,17,7
"Q0322032133322122",1,"1",28,"4",1054,"715","1","2",810,1290,295,42,7
"Q0322032133322123",1,"1",28,"4",1054,"715","1","1",3062,1575,157,67,15
"Q0322032133322123",1,"1",28,"4",1054,"715","1","2",2389,3240,148,115,18
"Q0322032133322130",1,"1",28,"4",1054,"715","1","1",2530,2552,103,57,21
"Q0322032133322130",1,"1",28,"4",1054,"715","1","2",3541,6901,136,106,16
"Q0322032133322131",1,"1",28,"4",1054,"715","1","1",1952,2777,141,175,49
"Q0322032133322131",1,"1",28,"4",1054,"715","1","2",2436,3168,107,156,24
"Q0322032133322132",1,"1",28,"4",1054,"715","1","1",4331,4173,121,100,18
"Q0322032133322132",1,"1",28,"4",1054,"715","1","2",8093,8089,73,98,14
"Q0322032133322133",1,"1",28,"4",1054,"715","1","1",2727,4602,95,49,30
"Q0322032133322133",1,"1",28,"4",1054,"715","1","2",4318,9916,125,33,10
"Q0322032133322211",1,"1",28,"4",1054,"715","1","1",3838,1184,32,12,6
"Q0322032133322211",1,"1",28,"4",1054,"715","1","2",1746,1881,122,13,3
"Q0322032133322212",1,"1",28,"4",1054,"715","1","1",1147,2923,105,2,2
"Q0322032133322212",1,"1",28,"4",1054,"715","1","2",7300,3455,65,4,1
"Q0322032133322213",1,"1",28,"4",1054,"715","1","2",1345,1191,4,1,1
"Q0322032133322221",1,"1",28,"4",1054,"715","1","1",3069,2865,111,10,2
"Q0322032133322221",1,"1",28,"4",1054,"715","1","2",2058,2837,316,1,1
"Q0322032133322223",1,"1",28,"4",1054,"715","1","1",976,1176,420,9,1
"Q0322032133322223",1,"1",28,"4",1054,"715","1","2",2292,2702,147,7,1
"Q0322032133322230",1,"1",28,"4",1054,"715","1","1",10178,5740,67,3,3
"Q0322032133322231",1,"1",28,"4",1054,"715","1","1",367,228,474,3,1
"Q0322032133322231",1,"1",28,"4",1054,"715","1","2",1839,1471,83,26,4
"Q0322032133322232",1,"1",28,"4",1054,"715","1","2",812,755,37,1,1
"Q0322032133322233",1,"1",28,"4",1054,"715","1","1",3833,1624,34,14,9
"Q0322032133322233",1,"1",28,"4",1054,"715","1","2",1570,2158,64,11,6
"Q0322032133322300",1,"1",28,"4",1054,"715","1","1",674,530,508,5,4
"Q0322032133322300",1,"1",28,"4",1054,"715","1","2",4230,2136,7,9,2
"Q0322032133322301",1,"1",28,"4",1054,"715","1","1",2739,1635,91,97,23
