"trimester","ADM1_ES","ADM2_ES","download_speed_change","upload_speed_change"
1,"Amazonas","Leticia",0,0
1,"Antioquia","Abejorral",0,0
1,"Antioquia","Abriaqui",0,0
1,"Antioquia","Alejandria",0,0
1,"Antioquia","Amaga",0,0
1,"Antioquia","Amalfi",0,0
1,"Antioquia","Andes",0,0
1,"Antioquia","Angelopolis",0,0
1,"Antioquia","Angostura",0,0
1,"Antioquia","Anori",0,0
1,"Antioquia","Anza",0,0
1,"Antioquia","Apartado",0,0
1,"Antioquia","Arboletes",0,0
1,"Antioquia","Argelia",0,0
1,"Antioquia","Barbosa",0,0
1,"Antioquia","Bello",0,0
1,"Antioquia","Belmira",0,0
1,"Antioquia","Betania",0,0
1,"Antioquia","Betulia",0,0
1,"Antioquia","Briceno",0,0
1,"Antioquia","Buritica",0,0
1,"Antioquia","Caceres",0,0
1,"Antioquia","Caicedo",0,0
1,"Antioquia","Caldas",0,0
1,"Antioquia","Campamento",0,0
1,"Antioquia","Canasgordas",0,0
1,"Antioquia","Caracoli",0,0
1,"Antioquia","Caramanta",0,0
1,"Antioquia","Carepa",0,0
1,"Antioquia","Carolina",0,0
1,"Antioquia","Caucasia",0,0
1,"Antioquia","Chigorodo",0,0
1,"Antioquia","Cisneros",0,0
1,"Antioquia","Ciudad Bolivar",0,0
1,"Antioquia","Cocorna",0,0
1,"Antioquia","Concepcion",0,0
1,"Antioquia","Concordia",0,0
1,"Antioquia","Copacabana",0,0
1,"Antioquia","Dabeiba",0,0
1,"Antioquia","Donmatias",0,0
1,"Antioquia","Ebejico",0,0
1,"Antioquia","El Bagre",0,0
1,"Antioquia","El Carmen de Viboral",0,0
1,"Antioquia","El Santuario",0,0
1,"Antioquia","Entrerrios",0,0
1,"Antioquia","Envigado",0,0
1,"Antioquia","Fredonia",0,0
1,"Antioquia","Frontino",0,0
1,"Antioquia","Giraldo",0,0
1,"Antioquia","Girardota",0,0
1,"Antioquia","Gomez Plata",0,0
1,"Antioquia","Granada",0,0
1,"Antioquia","Guadalupe",0,0
1,"Antioquia","Guarne",0,0
1,"Antioquia","Guatape",0,0
1,"Antioquia","Heliconia",0,0
1,"Antioquia","Hispania",0,0
1,"Antioquia","Itagui",0,0
1,"Antioquia","Ituango",0,0
1,"Antioquia","Jardin",0,0
1,"Antioquia","Jerico",0,0
1,"Antioquia","La Ceja",0,0
1,"Antioquia","La Estrella",0,0
1,"Antioquia","La Pintada",0,0
1,"Antioquia","La Union",0,0
1,"Antioquia","Liborina",0,0
1,"Antioquia","Maceo",0,0
1,"Antioquia","Marinilla",0,0
1,"Antioquia","Medellin",0,0
1,"Antioquia","Montebello",0,0
1,"Antioquia","Mutata",0,0
1,"Antioquia","Narino",0,0
1,"Antioquia","Nechi",0,0
1,"Antioquia","Necocli",0,0
1,"Antioquia","Olaya",0,0
1,"Antioquia","Penol",0,0
1,"Antioquia","Pueblorrico",0,0
1,"Antioquia","Puerto Berrio",0,0
1,"Antioquia","Puerto Nare",0,0
1,"Antioquia","Puerto Triunfo",0,0
1,"Antioquia","Remedios",0,0
1,"Antioquia","Retiro",0,0
1,"Antioquia","Rionegro",0,0
1,"Antioquia","Sabanalarga",0,0
1,"Antioquia","Sabaneta",0,0
1,"Antioquia","Salgar",0,0
1,"Antioquia","San Andres de Cuerquia",0,0
1,"Antioquia","San Carlos",0,0
1,"Antioquia","San Francisco",0,0
1,"Antioquia","San Jeronimo",0,0
1,"Antioquia","San Jose de la Montana",0,0
1,"Antioquia","San Juan de Uraba",0,0
1,"Antioquia","San Luis",0,0
1,"Antioquia","San Pedro de Uraba",0,0
1,"Antioquia","San Pedro de los Milagros",0,0
1,"Antioquia","San Rafael",0,0
1,"Antioquia","San Roque",0,0
1,"Antioquia","San Vicente Ferrer",0,0
1,"Antioquia","Santa Barbara",0,0
1,"Antioquia","Santa Fe de Antioquia",0,0
1,"Antioquia","Santa Rosa de Osos",0,0
1,"Antioquia","Santo Domingo",0,0
1,"Antioquia","Segovia",0,0
1,"Antioquia","Sonson",0,0
1,"Antioquia","Sopetran",0,0
1,"Antioquia","Tamesis",0,0
1,"Antioquia","Taraza",0,0
1,"Antioquia","Tarso",0,0
1,"Antioquia","Titiribi",0,0
1,"Antioquia","Toledo",0,0
1,"Antioquia","Turbo",0,0
1,"Antioquia","Urrao",0,0
1,"Antioquia","Valdivia",0,0
1,"Antioquia","Valparaiso",0,0
1,"Antioquia","Vegachi",0,0
1,"Antioquia","Venecia",0,0
1,"Antioquia","Yali",0,0
1,"Antioquia","Yarumal",0,0
1,"Antioquia","Yolombo",0,0
1,"Antioquia","Yondo",0,0
1,"Antioquia","Zaragoza",0,0
1,"Arauca","Arauca",0,0
1,"Arauca","Arauquita",0,0
1,"Arauca","Cravo Norte",0,0
1,"Arauca","Fortul",0,0
1,"Arauca","Puerto Rondon",0,0
1,"Arauca","Saravena",0,0
1,"Arauca","Tame",0,0
1,"Archipielago de San Andres, Providencia y Santa Catalina","Providencia",0,0
1,"Archipielago de San Andres, Providencia y Santa Catalina","San Andres",0,0
1,"Atlantico","Baranoa",0,0
1,"Atlantico","Barranquilla",0,0
1,"Atlantico","Campo de la Cruz",0,0
1,"Atlantico","Candelaria",0,0
1,"Atlantico","Galapa",0,0
1,"Atlantico","Juan de Acosta",0,0
1,"Atlantico","Luruaco",0,0
1,"Atlantico","Malambo",0,0
1,"Atlantico","Palmar de Varela",0,0
1,"Atlantico","Polonuevo",0,0
1,"Atlantico","Ponedera",0,0
1,"Atlantico","Puerto Colombia",0,0
1,"Atlantico","Repelon",0,0
1,"Atlantico","Sabanagrande",0,0
1,"Atlantico","Sabanalarga",1.94737142857143,1.10202857142857
1,"Atlantico","Santa Lucia",0,0
1,"Atlantico","Santo Tomas",0,0
1,"Atlantico","Soledad",0,0
1,"Atlantico","Suan",0,0
1,"Atlantico","Tubara",0,0
1,"Atlantico","Usiacuri",0,0
1,"Bogota, D.C.","Bogota, D.C.",0,0
1,"Bolivar","Achi",0,0
1,"Bolivar","Altos del Rosario",0,0
1,"Bolivar","Arenal",0,0
1,"Bolivar","Arjona",0,0
1,"Bolivar","Barranco de Loba",0,0
1,"Bolivar","Calamar",0,0
1,"Bolivar","Cantagallo",0,0
1,"Bolivar","Cartagena de Indias",0,0
1,"Bolivar","Cicuco",0,0
1,"Bolivar","Clemencia",0,0
1,"Bolivar","Cordoba",0,0
1,"Bolivar","El Carmen de Bolivar",0,0
1,"Bolivar","El Guamo",0,0
1,"Bolivar","El Penon",0,0
1,"Bolivar","Hatillo de Loba",0,0
1,"Bolivar","Magangue",0,0
1,"Bolivar","Mahates",0,0
1,"Bolivar","Maria La Baja",0,0
1,"Bolivar","Mompos",0,0
1,"Bolivar","Montecristo",0,0
1,"Bolivar","Morales",0,0
1,"Bolivar","Norosi",0,0
1,"Bolivar","Pinillos",0,0
1,"Bolivar","Regidor",0,0
1,"Bolivar","Rio Viejo",0,0
1,"Bolivar","San Estanislao",0,0
1,"Bolivar","San Fernando",0,0
1,"Bolivar","San Jacinto",0,0
1,"Bolivar","San Juan Nepomuceno",0,0
1,"Bolivar","San Martin de Loba",0,0
1,"Bolivar","San Pablo",0,0
1,"Bolivar","Santa Catalina",0,0
1,"Bolivar","Santa Rosa",0,0
1,"Bolivar","Santa Rosa del Sur",0,0
1,"Bolivar","Simiti",0,0
1,"Bolivar","Talaigua Nuevo",0,0
1,"Bolivar","Tiquisio",0,0
1,"Bolivar","Turbaco",0,0
1,"Bolivar","Turbana",0,0
1,"Bolivar","Villanueva",0,0
1,"Bolivar","Zambrano",0,0
1,"Boyaca","Almeida",0,0
1,"Boyaca","Arcabuco",0,0
1,"Boyaca","Belen",0,0
1,"Boyaca","Caldas",-13.3879038461538,-5.24746153846154
1,"Boyaca","Cerinza",0,0
1,"Boyaca","Chinavita",0,0
1,"Boyaca","Chiquinquira",0,0
1,"Boyaca","Chitaraque",0,0
1,"Boyaca","Chivata",0,0
1,"Boyaca","Cienega",0,0
1,"Boyaca","Combita",0,0
1,"Boyaca","Coper",0,0
1,"Boyaca","Corrales",0,0
1,"Boyaca","Covarachia",0,0
1,"Boyaca","Cubara",0,0
1,"Boyaca","Cucaita",0,0
1,"Boyaca","Cuitiva",0,0
1,"Boyaca","Duitama",0,0
1,"Boyaca","El Cocuy",0,0
1,"Boyaca","El Espino",0,0
1,"Boyaca","Firavitoba",0,0
1,"Boyaca","Gachantiva",0,0
1,"Boyaca","Gameza",0,0
1,"Boyaca","Garagoa",0,0
1,"Boyaca","Guacamayas",0,0
1,"Boyaca","Guateque",0,0
1,"Boyaca","Guican de la Sierra",0,0
1,"Boyaca","Iza",0,0
1,"Boyaca","Jenesano",0,0
1,"Boyaca","Labranzagrande",0,0
1,"Boyaca","Macanal",0,0
1,"Boyaca","Miraflores",0,0
1,"Boyaca","Moniquira",0,0
